horario,t1,t2,t3,t4,t5,t6,
15:05:29,21.25,21.50,20.75,22.00,21.75,21.50,20°C
15:05:30,21.25,21.50,20.25,22.25,21.50,21.75,
15:05:31,21.50,21.50,20.50,22.25,21.75,21.50,
15:05:32,21.75,21.00,20.50,22.25,21.50,21.50,
15:05:33,21.50,21.50,21.00,22.50,21.50,21.25,
15:05:34,21.75,21.25,21.00,22.50,22.00,21.00,
15:05:35,21.75,21.75,20.75,21.75,21.75,21.75,
15:05:36,21.25,21.75,21.00,22.50,21.75,21.50,
15:05:37,21.25,21.50,21.50,22.25,21.50,21.50,
15:05:38,21.75,21.50,20.75,22.25,21.50,21.25,
15:05:39,21.50,21.25,21.00,22.25,21.25,21.25,
15:05:40,21.50,21.00,21.00,22.25,21.50,21.75,
15:05:41,21.75,20.75,21.00,22.25,22.00,21.50,
15:05:42,21.25,21.75,21.00,22.25,22.00,21.50,
15:05:43,21.75,21.00,21.00,22.00,22.00,21.50,
15:05:44,21.25,21.50,21.25,22.25,21.50,21.50,
15:05:45,21.25,21.25,21.25,22.25,21.75,21.50,
15:05:46,21.75,21.75,20.75,22.00,21.75,21.50,
15:05:47,21.75,21.50,21.00,22.00,21.75,21.50,
15:05:48,21.75,21.50,21.00,22.50,21.50,21.00,
15:05:49,21.75,21.75,20.75,22.25,21.50,21.75,
15:05:50,21.50,21.00,21.25,22.25,21.75,22.00,
15:05:51,21.75,21.50,21.00,22.25,21.75,21.50,
15:05:52,21.75,21.50,20.75,22.00,22.00,21.50,
15:05:53,21.25,21.00,20.75,22.50,22.00,21.25,
15:05:54,21.50,21.25,20.50,22.25,21.50,21.75,
15:05:55,21.50,21.00,20.75,22.00,21.25,21.75,
15:05:56,21.50,21.75,21.25,22.25,21.75,21.25,
15:05:57,21.75,21.25,20.75,22.25,22.00,21.25,
15:05:58,21.50,21.00,21.00,21.75,22.00,21.25,
15:05:59,21.75,21.00,20.75,22.00,21.25,21.25,
15:06:00,21.50,21.25,21.00,22.25,21.50,21.75,
15:06:01,21.75,21.50,20.75,22.00,22.00,21.75,
15:06:02,21.75,21.00,21.25,21.75,21.75,21.50,
15:06:03,21.75,21.50,21.00,22.00,22.00,21.75,
15:06:04,21.75,21.25,21.00,22.25,21.75,21.75,
15:06:05,21.75,21.00,20.75,22.25,21.75,21.75,
15:06:06,21.50,21.50,20.75,22.25,21.50,21.25,
15:06:07,21.75,21.25,20.75,21.50,21.25,21.50,
15:06:08,21.50,21.50,20.75,22.25,22.00,21.50,
15:06:09,21.50,21.50,20.75,22.50,21.75,21.50,
15:06:10,21.50,21.25,21.00,22.25,21.50,21.25,
15:06:11,21.50,21.50,21.25,21.75,22.00,21.25,
15:06:12,21.50,21.25,20.75,21.75,21.50,21.25,
15:06:13,21.75,21.25,21.25,22.25,21.50,21.25,
15:06:14,21.50,21.50,21.00,22.50,22.00,21.75,
15:06:15,21.50,21.50,21.00,22.25,21.50,21.50,
15:06:16,21.50,21.00,21.00,22.00,21.75,21.75,
15:06:17,21.75,21.50,21.00,21.75,21.75,21.00,
